Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Fighting Dreamers - naruto	105.52	Expert	2.62★					
 Battle Without Honor or Humanity - Tomoyasu Hotei	105.49	Hard	2.18★					
 We Built this City - Starship	105.48	Expert	2.52★					
 Shake It Off - Taylor Swift	105.45	Expert	2.53★					
 Remix 10 - SilvaGunner Remix	105.44	Expert	2.64★					
 Hot Drinks - 	105.29	Expert	2.6★					
 Shrek Entire Movie - Dreamworks	105.28	Easy	2.66★					
 The Legend Of Max - 	105.15	Expert+	2.65★					
 Disco Yes - Tom Misch	105.11	Expert+	2.71★					
 Daikenkai - Mapped By Sniffyz	105.04	Expert+	2.64★					
 Down The Road - C2C	105.03	Expert	2.63★					
 Inferno - 	104.84	Expert+	2.57★					
 Faded Cheap Thrills - Djs from Mars	104.83	Expert	2.51★					
 Ghost Rule - feat_ Hatsune Miku	104.73	Expert	2.63★					
 Light It Up - Major Lazer feat. Nyla & Fuse ODG	104.69	Expert	2.55★					
 Shadows - God is an Astronaut	104.67	Expert	2.5★					
 Everyday Netsky Remix - Rusko	104.66	Expert	2.59★					
 Unhappy Refrain - ft. Hatsune Miku	104.57	Hard	2.61★					
 Flashback - MIYAVI vs KenKen	104.51	Expert	2.51★					
 Skyline - Charted by SuperToilet	104.47	Expert	2.48★					
 D-Tecnolife - Bleach Opening 2	104.47	Expert	2.52★					
 Spoiler - DJ Hyper	104.37	Expert	2.62★					
 Ascension - Big Wild	104.37	Expert	2.61★					
 My Hero Academia Opening 2 - My Hero Academia	104.21	Expert	2.48★					
 LUVORATORRRRRY! - Reol feat.nqrse	104.21	Hard	2.6★					
 My Hero Academia Opening 2 - My Hero Academia	104.21	Expert	2.48★					
 LUVORATORRRRRY! - Reol feat.nqrse	104.21	Hard	2.6★					
 LUVORATORRRRRY! - Reol feat.nqrse	104.21	Hard	2.6★					
 Chrome Vox - t+pazolite	104.17	Expert	2.54★					
 Sangria Wine - Camila Cabello, Pharrell Williams	104.17	Expert	2.76★					
 Shadows - Lindsey Stirling	104.15	Expert	2.5★					
 Don't Say "Lazy" - K-On	104.14	Hard	2.51★					
 Geki! Teikoku Kagekidan -  - from "Sakura Taisen"	104.12	Expert	2.5★					
 Ikenai Borderline - giri giri ai!	104.11	Expert	2.57★					
 Full Metal Alchemist Opening 4 Rewrite - Asian Kung-Fu Generation	104.08	Hard	2.61★					
 Sad_Machine (Darren Styles & Gammer Remix) - Porter Robinson	104.08	Expert	2.12★					
 BTH 3 - Im so Happy - (Charted by M.Rappold)	104.02	Expert+	2.59★					
 Supermassive Black Hole - Muse	103.94	Expert	2.54★					
 Youjo Senki - Los! Los! Los! - Aoi Yuuki	103.91	Normal	2.61★					
 Hallelujah Essaim - Gabriel Dropout Cast	103.83	Hard	2.6★					
 Funky Dealer - Hideki Naganuma	103.79	Expert	2.61★					
 Disconnected - Pegboard Nerds	103.71	Expert	2.59★					
 Chats Been Spammin' Foki - Carrot Bois	103.71	Expert	2.62★					
 Marble Soda - Shawn Wasabi	103.70	Expert	2.5★					
 We Killed The Rave - 	103.66	Expert	2.42★					
 We Killed The Rave - 	103.66	Expert	2.42★					
 Redo - Suzuki Konomi	103.59	Hard	2.49★					
 Shut Up and Dance - WALK THE MOON	103.54	Expert	2.46★					
 I'll Make A Man Out Of You - Mulan	103.30	Expert+	2.58★					
 Mortal Kombat (Original Theme) - Techno Syndrome	103.28	Expert	2.6★					
 Hello, Morning (Short edit) - Nor ft. Kizuna AI	103.15	Expert	2.55★					
 Kaizo Trap (Yazer) ScoreFix - Leslie Wai	103.12	Expert	2.52★					
 Ultimate Celebration - Intents 2018 Anthem	103.11	Expert+	2.46★					
 Shots (Broiler Remix) - Imagine Dragons	103.10	Expert	2.58★					
 Let's do it again - 	103.00	Hard	2.58★					
 This Isn't Rocket Science - F-777	102.92	Expert	2.57★					
 21 guns - 	102.85	Hard	2.59★					
 Black Shout - Roselia	102.84	Expert	2.57★					
 Weapon - 	102.77	Expert	2.58★					
 Five Nights at Freddy's 1 Song - 	102.75	Expert	2.48★					
 To See The Future (Bootleg) - 	102.60	Expert	2.53★					
 Kamikaze - MO	102.57	Expert	2.56★					
 Mausoleum Mash (1-3) - Crypt of the Necrodancer	102.53	Expert	2.45★					
 Rainbow Notes - Approaching Nirvana	102.50	Expert	2.45★					
 DDU-DU DDU-DU - BLACKPINK ????	102.21	Expert	2.56★					
 Fly Away - Panty and Stocking w/Garterbelt	102.18	Expert	2.56★					
 All The Kings Horses - 	102.18	Hard	2.55★					
 cYsmix - Escapism (BilliumMoto Flip) - 	102.18	Expert	2.56★					
 Down The Road - C2C	102.15	Hard	2.49★					
 BLACK or WHITE? - BlackYooh vs. siromaru	102.13	Expert	2.55★					
 Turn Down For What - Upon A Burning Body & ICE-T	102.12	Expert	2.5★					
 BTH - Cheat Codes - (Charted by M.Rappold)	102.11	Expert+	2.57★					
 [EC1]Everything Goes - R3SPAWN	102.06	Expert	2.55★					
 Crossing Field - 	102.05	Expert	2.54★					
 Angels & Demons - 	102.03	Expert	2.55★					
 Sh0ut - SawanoHiroyuki[nZk]	102.02	Expert	2.56★					
 Overlord 2 Opening - 	101.99	Expert	2.78★					
 Never Regret Anything - Chart by Mystikmol	101.99	Expert+	2.56★					
 Oceans - Coasts	101.98	Expert	2.55★					
 300MB - Mouth Moods	101.96	Expert+	2.58★					
 Resurrected - Zomboy	101.89	Expert	2.46★					
 Awe - prototyperaptor	101.85	Expert	2.46★					
 Awe - prototyperaptor	101.85	Expert	2.46★					
 We Killed The Rave - 	101.82	Expert	2.42★					
 We Killed The Rave - 	101.82	Expert	2.42★					
 We Killed The Rave - 	101.82	Expert	2.42★					
 Face to face - Daft Punk	101.81	Hard	2.43★					
 Kiss of Death - Mika Nakashima x Hyde	101.80	Expert+	2.52★					
 Crypteque  - Danny Baranowsky	101.80	Expert	2.44★					
 Witch Doctor (Ooh Eeh Ooh Ah Aah Ting Tang Walla Walla Bing Bang) - The Cartoons	101.76	Expert	2.49★					
 Welcome to the Family - Avenged Sevenfold	101.73	Expert	2.42★					
 Soldiers - Otherwise	101.67	Expert	2.55★					
 Gourmet Race [Dubstep Remix] - ColBreakz	101.51	Expert	2.5★					
 Wakusei Rabbit - Yunomi feat. TORIENA	101.50	Expert+	2.53★					
 Poker Face - 	101.46	Hard	2.54★					
 I Apologize - Five Finger Death Punch	101.42	Expert	2.55★					
 Please No More - 	101.40	Expert	2.53★					
 Boku no Pico - Opening Theme	101.38	Expert	2.45★					
 Party - 	101.33	Expert	2.54★					
 BTH 3 - Save Me - (Charted by M.Rappold)	101.27	Expert+	2.41★					
 Megitsune - Babymetal	101.25	Expert+	2.61★					
 JoJo's BA - Opening 5	101.23	Expert	2.52★					
 The Wonky Song (X Rated Version) - MONXX & Walter Wilde	101.22	Hard	2.54★					
 No No No - TheFatRat	101.16	Hard	2.5★					
 Okinawan Summer - mapped by Aldeas	101.14	Hard	2.53★					
 Okinawan Summer - mapped by Aldeas	101.14	Hard	2.53★					
 Death Metal - Crypt of the Necrodancer	101.10	Expert	2.34★					
 Ink Me Up (1st Concert) - Splatoon OST	100.97	Expert+	2.35★					
 YMCA - By Village People	100.94	Hard	2.7★					
 YMCA - By Village People	100.94	Hard	2.7★					
 Beat it - Michael Jackson	100.93	Expert	2.73★					
 Iconic - prototyperaptor	100.93	Expert	2.42★					
 1Summer - 	100.90	Expert	2.4★					
 Unshakable - RiraN	100.87	Hard	2.52★					
 UP & DOWN - Nanobii	100.84	Expert	2.63★					
 Spoiler - Hyper	100.79	Expert	2.3★					
 Last Summer - Ikson	100.79	Expert	2.52★					
 Megitsune - Babymetal	100.78	Expert	2.59★					
 WITCH DOCTOR - RIGHT VERSION  - 	100.77	Hard	2.41★					
 Lethargy - Bastille	100.74	Expert	2.46★					
 Narcissistic Cannibal - Ft. Skrillex and Kill The Noise	100.74	Expert	2.02★					
 Mistake (Virtual Riot Remix) - 	100.73	Expert	2.49★					
 Hyadain no Joujou Yuujou - Hyadain	100.65	Expert	2.52★					
 Knights of Cydonia (Single Edit) - Muse	100.60	Expert	2.52★					
 Love You Love You Love - Mapped by apgrenus	100.57	Expert	2.53★					
 Revolution - The Score	100.55	Expert	2.51★					
 Ultimate Ascension - Chart by Mystikmol	100.50	Expert	2.48★					
 Let The Games Begin - AJR - 	100.48	Expert	2.51★					
 Put a Donk on it - Blackout Crew	100.42	Expert	2.39★					
 The Noise of Rain - [English/Japanese Cover]	100.33	Expert	2.4★					
 Soundclash - Flosstradamus & TroyBoi	100.29	Expert	2.53★					
 We Are Number One - (Dubstep Remix)	100.26	Expert	2.51★					
 Dimension - Creo	100.19	Expert	2.5★					
 Cryosleep - 	100.13	Expert	2.55★					
 Blow Me Away - Breaking Benjamin	100.08	Expert	2.4★					
 Sweet Child O Mine - Guns and Roses	99.80	Expert	2.5★					
 BANG BANG BANG - BIG BANG	99.80	Expert	2.4★					
 Ruriirokingyo to Hanasyoubu - (nmk Eurobeat mix)	99.80	Expert	2.7★					
 Hitori - "Darling in Franxx" ED4	99.70	Expert	2.48★					
 Battle! (Lorekeeper Zinnia)  - Shota Kageyama	99.70	Expert	2.49★					
 Hei Feng Li - 	99.50	Expert	2.38★					
 Mundo - Chart by Mystikmol	99.50	Expert	2.4★					
 Eclipse - Jim Yosef	99.50	Expert	2.44★					
 La Grange - ZZ Top	99.40	Hard	2.48★					
 Bad - Christoffer	99.40	Hard	2.55★					
 Another Winter - 	99.40	Expert	2.41★					
 Chop Chop - 	99.30	Hard	2.46★					
 What Is Love - Haddaway	99.30	Expert	2.4★					
 Burn - Ellie Goulding	99.20	Expert	2.41★					
 Eye of the Tiger - Survivor	99.10	Expert	2.47★					
 Peptalk - De Staat	99.10	Expert	2.48★					
 Master of Your Fate - Teen Titans	99.00	Expert	2.67★					
 FUKKIRETA - 	99.00	Expert	2.45★					
 Particle Man - They Might Be Giants	98.90	Expert	2.49★					
 Playinwitme (short) - KYLE	98.90	Expert	2.15★					
 The Mystic - Adam Jensen	98.90	Expert	2.38★					
 Rock da Juice - The Dude	98.80	Hard	2.48★					
 Stella - 	98.80	Expert	2.46★					
 Dummy! - Undertale OST	98.70	Expert	2.47★					
 Love Potion - ?? / ?????	98.70	Expert	2.49★					
 Lift Yourself - Kanye West	98.70	Hard	2.43★					
 Captain Jack - GRANDALE MIX	98.70	Expert	2.45★					
 Flexicution - Logic	98.70	Expert	2.39★					
 Captain Jack - GRANDALE MIX	98.70	Expert	2.45★					
 Flexicution - Logic	98.70	Expert	2.39★					
 Senbonzakura (Short Ver.) - Kradness + Giga-P	98.60	Hard	2.42★					
 Sorry - Justin Bieber	98.60	Expert	2.41★					
 Undertale Red (Fan Game) - Red Pacifist Run	98.50	Expert	2.46★					
 Kakattekoiyo - NakamuraEmi	98.50	Expert	2.47★					
 Paris - 	98.40	Expert	2.42★					
 Technologic - Daft Punk	98.30	Expert	2.48★					
 Killing In The Name - 	98.30	Hard	2.46★					
 Sonne - Rammstein	98.30	Expert	2.37★					
 Silhouette Naruto OP16 - Raon Lee	98.30	Expert	2.61★					
 LIKEY - 	98.30	Expert	2.46★					
 I Am... All Of Me - Crush 40 - Shadow The Hedgehog	98.20	Expert	2.42★					
 Baby's On Fire - Die Antwoord	98.20	Hard	2.47★					
 Battle Against a True Hero / Undyne Battle - Undertale	98.20	Expert+	2.51★					
 BTH - Seduction (Vocal Mix) - (Charted by M.Rappold)	98.20	Expert+	2.47★					
 Hitorigoto -TV MIX- - ClariS	98.10	Hard	2.39★					
 Rising Hope - 	98.10	Expert	2.33★					
 Blondie Girl - MOMO MIX - - Made by Yendap	98.10	Expert	2.46★					
 Party Rock Anthem - LMFAO	98.10	Expert+	2.42★					
 give it away - red hot chili peppers	98.00	Expert	2.45★					
 Immortal Flame (ft. Anna Yvette) - Panda Eyes & Teminite	98.00	Expert	2.45★					
 Rock It - Tokyo Machine	98.00	Expert	2.36★					
 Time Lapse (1 Handed Mode) - The Fat Rat	97.90	Expert+	2.45★					
 Braindead - Mapped by 20/20 Gamer	97.90	Expert	2.45★					
 Braindead - Mapped by 20/20 Gamer	97.90	Expert	2.45★					
 Firestone - 	97.80	Hard	2.45★					
 I'll Make a Man out of You - Disney's Mulan	97.80	Expert	2.4★					
 Seaguls Stop It Now - Bad Lip Reading	97.70	Expert	2.44★					
 Tequila Remix - J. Rabbit	97.70	Hard	2.39★					
 Kryptonite - 	97.60	Expert	2.45★					
 First Of The Year (Equinox) - 	97.50	Expert	2.44★					
 コネクト - connect	97.40	Expert	2.38★					
 Speed Over Beethoven - 	97.40	Expert	2.37★					
 Friend Like Me - Aladdin OST	97.40	Expert	2.36★					
 Way Back - 	97.30	Expert	2.33★					
 Square Hammer - Ghost B.C	97.30	Expert	2.23★					
 Want You Gone - GLaDOS	97.20	Expert	2.44★					
 Mr.Roboto - Styx - 	97.20	Expert	2.45★					
 Bat Country - Avenged Sevenfold	97.20	Expert	2.4★					
 This is America (1.2) - Childish Gambino	97.20	Expert	2.36★					
 Kodokushi - Kami	97.10	Expert	2.43★					
 Kodokushi - Kami	97.10	Expert	2.43★					
 Killer Queen (Remastered) - Queen	97.00	Expert	2.31★					
 Beelzeboss - The Final Showdown	97.00	Expert+	2.28★					
 It's art - 	97.00	Expert	2.46★					
 World's End Dancehall - ft. Miku & Luka	97.00	Expert	2.32★					
 Higher (Lakechild remix) - Cajsa Siik	96.80	Expert	2.39★					
 Dimple - BTS	96.80	Hard	2.42★					
 Headless Beast - Pause Ahead Side A - Bill Kiley	96.80	Hard	2.36★					
 Wrong (Muzzy Remix) - Kings Of The City	96.80	Expert	2.42★					
 Sparks - Elektronomia	96.70	Expert	2.31★					
 Arby 'n' The Chief Season 6 Main Theme - Jon CJ Graham	96.70	Hard	2.42★					
 Monster - Reol	96.60	Expert	2.42★					
 Star Sky (Instrumental) - Two Steps From Hell	96.60	Expert	2.32★					
 Kyouran Hey Kids!! - Noragami Aragoto Opening	96.50	Expert	2.24★					
 Erza's Theme - Fairy Tail	96.40	Expert	2.33★					
 oddloop - frederic	96.40	Expert	2.41★					
 Zurui yo Magnetic Today - Love Live - 	96.40	Hard	2.29★					
 Marigold - 	96.40	Expert	2.3★					
 Pompeii - 	96.30	Hard	2.34★					
 Love Scenario - Love Scenario	96.30	Expert	2.41★					
 Deal With The Devil - 	96.30	Expert	2.36★					
 Darkness - ?StyleP?	96.30	Expert	2.34★					
 Tonight Is the Night - Outasight	96.20	Expert	2.29★					
 Bonfire - Knife Party	96.20	Expert+	2.41★					
 Fire & Forgive - 	96.10	Expert	2.41★					
 Berserk - DJ S3rl ft Iceman	96.10	Expert	2.45★					
 Break In To Break Out - Persona 5	96.10	Expert	2.35★					
 Koto - CloZee	96.10	Expert	2.4★					
 Psycho - 	96.10	Expert	2.34★					
 CANDYYYLAND (Pa's Lam System Remix) - tofubeats	96.00	Normal	2.39★					
 The Squeaky Wheel - 	96.00	Expert	2.39★					
 FFVII - Those Who Fight / Fighting Theme - 	96.00	Expert	2.41★					
 Die Young - 	96.00	Hard	2.28★					
 Weird Machine (ft. Nevve) (Syrex Nightcore) - DROELOE	95.90	Expert	2.39★					
 Yeah! - Usher	95.90	Hard	2.33★					
 give it away - red hot chili peppers	95.90	Hard	2.4★					
 Spider Dance - Undertale OST	95.90	Hard	2.36★					
 Tunak Tunak Tun (Eurobeat Mix) - Daler Mehndi	95.90	Hard	2.4★					
 The Pretender - v100	95.80	Hard	2.31★					
 Berry Go !! - Freezer (Feat. Kiichigo)	95.70	Hard	1.88★					
 Board Game - Koven	95.70	Expert	2.39★					
 The Jester's Dance - 	95.70	Expert	2.36★					
 Heroes Tonight - Janji 	95.60	Hard	2.27★					
 Knife Party - Internet Friends (Short version) - 	95.60	Expert	2.3★					
 Immortal Flame feat. Anna Yvette - Panda Eyes & Teminite	95.60	Expert	2.36★					
 What Is Love - Haddaway	95.60	Hard	2.39★					
 Guardians Of Asgaard - 	95.60	Hard	2.42★					
 Guardians Of Asgaard - 	95.60	Hard	2.42★					
 Hand in Hand - Hatsune Miku	95.50	Hard	2.39★					
 BTH 5 - Take Me High - (Charted by M.Rappold)	95.50	Expert+	2.4★					
 COOKIES - Monstercat Release	95.50	Expert	2.3★					
 Stuck In The Middle - Stealer's Wheel	95.40	Hard	2.38★					
 I Just - Red Velvet	95.40	Hard	2.4★					
 Last Surprise - Persona 5	95.30	Expert	2.32★					
 Diva Dance - The Fifth Element - Mapped by The_Chief	95.20	Hard	2.37★					
 Me Like Yuh - 	95.20	Expert	2.38★					
 Angels - (Map By QuiqueLocoXDDDD)	95.20	Expert	2.33★					
 Meltdown feat. Rin - by Iroha(Sasaki)	95.10	Expert+	2.37★					
 Banjo-Kazooie Main Title - Grant Kirkhope	95.10	Expert+	2.38★					
 Get Down - BJJ	95.10	Expert	2.33★					
 Nantsutte Tsuchatta - MAD Remix	95.10	Expert	2.36★					
 Bad Apple!! (Violin Quartet) - 	95.10	Expert	2.39★					
 What You Know - Two Door Cinema Club	95.10	Expert	2.34★					
 Song of Storms METAL - 	95.10	Expert	2.39★					
 Hey Ya - 	95.10	Expert	2.35★					
 Azur Lane VS Yuudachi - piano rock ver	95.00	Expert	2.28★					
 Over Again - Mike Shinoda	95.00	Expert	2.35★					
 Good Times Roll - Griz x Big Gigantic	94.90	Expert	2.25★					
 I Was Born to Love U - 	94.90	Expert	2.34★					
 Battle! (Lorekeeper Zinnia)  - Shota Kageyama	94.90	Hard	2.37★					
 I Ain't Done - Andy Mineo	94.90	Hard	2.32★					
 BTH - Our Demons - (Charted by M.Rappold)	94.90	Expert+	2.3★					
 Baby I'm Yours - Breakbot	94.80	Expert	2.28★					
 Best Friends Until the End of Time (Aurellah Remix) - Daniel Ingram	94.80	Hard	2.31★					
 RELOADED - EGOIST	94.60	Hard	2.35★					
 Toumei Elegy - (Mapped by Calijor)	94.60	Hard	2.37★					
 Energy Drink - Chart By Moriik	94.60	Expert	2.34★					
 We All Become - Darren Korb	94.60	Expert	2.28★					
 Astrogazer - D.J Totto - 	94.60	Expert	2.3★					
 The Veldt - Deadmau5	94.60	Hard	2.32★					
 Lucy (Original Mix) - Seven Lions	94.50	Expert	2.49★					
 Get it right - Diplo (Ft. Mo)	94.50	Expert	2.41★					
 YMCA By Village People - No bombs Version	94.40	Normal	2.36★					
 You Make Me Go - feat. Miyoki	94.40	Expert	2.37★					
 You Make Me Go - feat. Miyoki	94.40	Expert	2.37★					
 One More Time - Berlin Child	94.30	Hard	2.26★					
 We Can Make The World Stop - 	94.30	Expert	2.27★					
 Tokyo TakeDown - Boom Kitty - HeliXiX	94.20	Expert	2.28★					
 The Girl  - (Hellberg, Cozi Zuehlsdorff)	94.20	Expert	2.35★					
 No, Thank you! - K-On	94.20	Hard	2.27★					
 Dokkin Summer Adventure - L.E.D.-G + Qrispy Joybox + ARM feat. Nanahira	94.20	Hard	2.25★					
 Love Taste (w/ Jamie Paige & Shiki) - Moe Shop	94.20	Expert	2.31★					
 Polish Girl - Neon Indian	94.20	Expert	2.25★					
 Megalovania (Cement City Remix) - Undertale	94.20	Expert	2.24★					
 She's Got Me Dancing - Tommy Sparks	94.10	Expert	2.27★					
 Cameo Lover - 	94.10	Expert	2.37★					
 YuGiOh Theme Song - Duel Monsters	94.00	Expert	2.41★					
 Waiting For The Night - Armin Van Buuren	94.00	Expert	2.36★					
 Mr. Saxobeat  - Alexandra Stan 	93.90	Hard	2.24★					
 Sledgehammer - Savant	93.90	Expert+	2.35★					
 How it is - Wap Bap	93.90	Hard	2.33★					
 Escape From The City - Sonic Adventure 2	93.90	Expert	2.35★					
 Turmoil - 	93.90	Expert	2.42★					
 Turmoil - 	93.90	Expert	2.42★					
 Cake By The Ocean. - 	93.80	Hard	2.35★					
 Radioactive - modded by Tzahrkiya	93.80	Expert	2.28★					
 Super Smash Bros Ultimate Theme - Nintendo Switch	93.80	Expert	2.63★					
 Blood Sugar - Pendulum - 	93.80	Expert	2.25★					
 The Flash CW Theme - Blake Neely	93.70	Expert	2.35★					
 Zephyr - 	93.70	Expert	2.35★					
 deltaMAX - DM Ashura	93.70	Hard	2.2★					
 Fate?Rebirth - SCL Project	93.60	Expert	2.35★					
 Billions Speech - Donald Trump	93.60	Expert	2.32★					
 The Girl - Hellberg	93.60	Expert	2.33★					
 Masquerade - M2U - 	93.50	Expert	2.24★					
 Gypsy Woman - Mapped Phychic_Ninja	93.50	Expert	2.35★					
 Memes - 	93.50	Expert+	2.34★					
 Glitz at the Ritz - Gavin Luke	93.40	Expert	2.26★					
 Alexander Hamilton - Hamilton, Broadway	93.40	Expert+	2.27★					
 The Fall - 	93.40	Expert	2.34★					
 Renegade - phoenix7700	93.30	Expert	2.54★					
 Contact - 	93.30	Expert+	2.33★					
 Pursuit~ Lying Coldly - Ace Attorney Investigations: Miles Edgeworth	93.30	Expert	2.36★					
 Running in the 90's - Max Coveri	93.30	Expert	2.28★					
 Infected - 	93.30	Expert	2.23★					
 Future Retro - 	93.20	Hard	2.24★					
 Hammer - Nothing, Nowhere Cover	93.10	Expert	2.32★					
 Joker and the Thief - Wolfmother	93.10	Hard	2.33★					
 Red - 	93.10	Expert	2.33★					
 Lifelight - Hideki Sakamoto, Erina Koga, Abby Trott	93.00	Expert	2.32★					
 This Girl - Kungs	93.00	Hard	2.33★					
 Ode To Sleep - Twenty One Pilots	92.90	Expert	2.32★					
 Babybaby - Tanuki	92.90	Expert	2.23★					
 The Torch of the Annihilation of Communism - 	92.90	Expert	2.32★					
 Can't Hold Us - Macklemore	92.90	Expert	2.25★					
 Can't Hold Us - Macklemore	92.90	Expert	2.25★					
 Kiss of Death - Mika Nakashima x Hyde	92.80	Expert	2.32★					
 Uso no Hibana - V2 - fixed	92.70	Expert	2.27★					
 I Love it When You Cry - Steve Aoiki and Moxie	92.70	Expert	2.24★					
 Ninelie (REDSHiFT & Vesuvia Remix) - Kabaneri ED	92.70	Expert+	2.24★					
 Electra Heart - Marina and the Diamonds (Betatraxx remix)	92.70	Expert	2.25★					
 Kids - MGMT	92.70	Expert	2.28★					
 Test Drive - John Powell	92.60	Hard	2.31★					
 THE REGULAR SHOW REMIX - Tha J -Squad	92.60	Expert	2.3★					
 Megitsune - Babymetal	92.60	Hard	2.37★					
 Snow Halation - by µ's	92.60	Expert	2.24★					
 Lean Wit Me - 	92.60	Hard	2.32★					
 Braumix - League of Legends Community Colab	92.60	Expert	2.29★					
 Royals (Yinyues Remix) - Lorde	92.60	Hard	2.09★					
 Never Regret Anything - Chart by Mystikmol	92.60	Hard	2.32★					
 Born to be alive - Born to be alive	92.60	Expert	2.36★					
 Lay Down - Priestess	92.60	Hard	2.15★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Marisa Stole the Precious Thing - IOSYS	92.60	Expert	2.3★					
 Sponge Bob Anime Opening - narmak	92.50	Hard	2.32★					
 I Gotta Feeling - The Black Eyed Peas	92.50	Expert	2.28★					
 Old Fashioned - 	92.30	Hard	2.31★					
 Changes - MUTEMATH	92.30	Expert	2.31★					
 Chasis Indicate - Makina Chasis Indicate	92.30	Normal	2.3★					
 The Light - Ridvan	92.30	Expert	2.31★					
 Toy - Netta	92.30	Expert	2.28★					
 Who We Are - Carrot Bois	92.30	Expert	2.32★					
 TRIP ISLAND - D.K.inc.	92.20	Expert	2.31★					
 Tomorrow - 	92.20	Hard	2.3★					
 SUPERMEGAHIT - (feat. Kuplinov?Play)	92.20	Expert	2.29★					
 Short Change Hero - the Heavy	92.20	Expert	2.32★					
 killy killy JOKER (TV Size) - 	92.20	Expert	2.32★					
 Natsuiro Egao de 1 2 Jump! - 	92.10	Hard	2.3★					
 Don't Be Afraid - 	92.10	Hard	2.3★					
 Crazy Train - Ozzy Osbourne	92.10	Expert	2.08★					
 Don't Say "Lazy" - K-On	92.10	Expert	2.73★					
 Enter the Aqua Terrarium - Yukimame	92.00	Expert	2.3★					
 Time to be Awesome - 	92.00	Expert	2.23★					
 OutKast Hey Ya! - 	92.00	Expert	2.32★					
 Bangarang - Skrillex	92.00	Expert	2.3★					
 TaKillYa - Vinnie Maniscalco	91.90	Expert	2.29★					
 Gourmet Race [Dubstep Remix] - ColBreakz	91.90	Hard	2.31★					
 House Arrest - Krush - House Arrest	91.80	Hard	2.22★					
 Middle - 	91.80	Expert	2.24★					
 Fire Hive - Knife Party	91.80	Expert	2.21★					
 Black Skinhead - Kanye West	91.80	Expert	2.29★					
 Taiyou Paradise - nao	91.80	Hard	2.29★					
 All Time Low (BOXINLION Remix) - Jon Bellion	91.80	Expert	2.3★					
 Heater - Flume	91.80	Expert	2.3★					
 Tear Rain - feat. Emmy	91.80	Expert	2.29★					
 Chiru Chiru - REOL	91.70	Expert	2.28★					
 Paradise Warfare - 	91.70	Hard	2.2★					
 Pom Pom - Ninja	91.70	Hard	2.3★					
 Goya no Machiawase - (TV Size)	91.70	Expert	2.24★					
 Goya no Machiawase - (TV Size)	91.70	Expert	2.24★					
 Always - 	91.50	Expert	2.24★					
 The Upside Down - Wolfgang Gartner & JayKode	91.50	Expert	2.18★					
 BTH - Essence of Life - (Charted by M.Rappold)	91.50	Expert+	2.23★					
 Africa - 	91.50	Expert	2.23★					
 Brother Louie - 	91.50	Expert	2.28★					
 Brother Louie - 	91.50	Expert	2.28★					
 Game Time - 3LAU, feat. NINJA	91.40	Expert	2.28★					
 Cornered - Phoenix Wright Ace Attorney - 	91.40	Expert	2.23★					
 X Gon' Give It To Ya - DMX	91.40	Expert	2.28★					
 No, Thank you! - K-On	91.40	Expert	2.28★					
 Senbonzakura - ft. Hatsune Miku	91.40	Hard	2.28★					
 No Money - Galantis	91.30	Expert	2.28★					
 Beings - Madeon	91.30	Expert	2.19★					
 World's End Dancehall - ft. Miku & Luka	91.30	Hard	2.26★					
 Rescue Girl - 	91.30	Expert	2.29★					
 9,000 Miles - (Charted by M.Rappold)	91.30	Expert+	2.27★					
 Uso no Hibana - 	91.30	Expert	2.27★					
 Uso no Hibana - 	91.30	Expert	2.27★					
 Code Silver - 	91.20	Expert	2.23★					
 Hearts On Fire - 	91.10	Expert	2.18★					
 Memes - 	91.10	Expert	2.28★					
 [EC1]Haunted - Slips & Slurs	91.00	Expert	2.2★					
 BTH2 - Watching Me - (Charted by M.Rappold)	91.00	Expert+	2.26★					
 Ugoku Ugoku - 	91.00	Expert	2.27★					
 Emperor's New Clothes - 	91.00	Expert	2.19★					
 Ugoku Ugoku - 	91.00	Expert	2.27★					
 Emperor's New Clothes - 	91.00	Expert	2.19★					
 Damnation - Mapped by SD	90.90	Expert	2.28★					
 Cryosleep - 	90.90	Hard	2.32★					
 Party Till We Die - Timmy Trumpet (feat. Andrew WK)	90.90	Expert	2.28★					
 Thought Contagion - Muse	90.90	Expert	2.27★					
 Running Hell - Cave Story	90.80	Hard	2.27★					
 Nekkoya Jap ver. - PRODUCE48	90.80	Hard	2.16★					
 Running From the Cops feat. Armanni Reign - Charted By Moriik	90.80	Expert	2.25★					
 Bomb Rush Blush - 	90.80	Expert	2.18★					
 Lose My Mind (Radio Edit) - 	90.80	Hard	2.29★					
 SAO intro - 	90.80	Expert	2.31★					
 Caramelldansen - Carmell (Beat Saber Edit)	90.70	Expert	2.27★					
 Bad Boy (Revised) - 	90.60	Expert	2.19★					
 LUVORATORRRRRY! - Reol feat.nqrse	90.60	Expert	2.22★					
 LUVORATORRRRRY! - Reol feat.nqrse	90.60	Expert	2.22★					
