Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Stitch - Wage War	152.06	Expert+	3.67★	100	0.02836	4.3127		
 TSUBAKI - Ocelot	151.75	Expert	3.64★	101	0.02737	4.1532		
 Spider Dance - Undertale OST	150.70	Expert	3.76★	102	0.02641	3.9801		
 Neko Kuma Usasa - - Mizoguchi Yuma feat. Miko?Nachi?Ai	150.39	Expert	3.65★	103	0.02549	3.8329		
 JOUNETSU  TAIRIKU - 	150.29	Expert	3.47★	104	0.02459	3.6963		
 Redo (TV Size) - Konomi Suzuki	150.15	Expert	3.75★	105	0.02373	3.5636		
 Sendan Life - splake	149.92	Expert+	3.76★	106	0.02290	3.4336		
 Indoor Kei Nara Trackmaker - Yunomi & nicamoq	148.80	Expert	3.59★	107	0.02210	3.2887		
 Mami-zoo - 	148.39	Expert+	3.32★	108	0.02133	3.1649		
 BTH 3 - Us Against the World - (Charted by M.Rappold)	148.20	Expert+	3.43★	109	0.02058	3.0502		
 Hammer o Denpa Song ni Shitemita - kana	147.92	Expert+	3.63★	110	0.01986	2.9379		
 Ultimate Ascension - Chart by Mystikmol	147.89	Expert+	3.43★	111	0.01917	2.8345		
 Tunak Tunak Tun (Eurobeat Mix) - Daler Mehndi	147.76	Expert	3.04★	112	0.01850	2.7329		
 Fat Lip - Sum 41	147.54	Expert	3.61★	113	0.01785	2.6333		
 Marry me, Nightmare - 	147.09	Expert+	3.5★	114	0.01722	2.5334		
 Birdy Nam Nam - Goin In - Skrillex Goin Hard Mix	147.00	Expert+	3.65★	115	0.01662	2.4432		
 Bockey Mouse March - 	146.35	Expert	3.54★	116	0.01604	2.3473		
 Crocodile Cacophony  - Soshi Abe	146.25	Expert	3.65★	117	0.01548	2.2636		
 Home - Resonance  - Electronic Gems	145.34	Expert	3.52★	118	0.01494	2.1707		
 Tunak Tunak Tun (Eurobeat Mix) - Daler Mehndi	145.04	Expert+	3.48★	119	0.01441	2.0904		
 Senbonzakura (Short Ver.) - Kradness + Giga-P	144.97	Expert	3.52★	120	0.01391	2.0163		
 Adieu, to this Lively Graveyard - Stack Bros.	144.93	Expert+	3.55★	121	0.01342	1.9452		
 For the Swarm - 	144.84	Expert	3.09★	122	0.01295	1.8759		
 Snakey Chantey  - Kumi Tanioka	144.34	Expert	3.56★	123	0.01250	1.8040		
 Our Wrenally - Chart by Kizuflux	144.11	Expert	3.49★	124	0.01206	1.7381		
 Dancing Lasha Tumbai - Verka Serduchka - 	144.11	Hard	3.6★	125	0.01164	1.6773		
 Black Betty - Caravan Palace Cover	143.78	Expert	3.42★	126	0.01123	1.6149		
